cult 狂热，时尚，崇拜;
undesirable 不受欢迎的;不想要的;
marine 海的;海产的;货船的;海上贸易的
contemplative 深思熟虑的，冥想的
lead on 引导，继续前进
repository 仓库;
commit 承诺，致力于，犯罪，自杀
patronage 光顾
dwelling 住处，公寓
degradation 退化，恶化
prosperity 成功，繁荣，富足
conditioned 对…具有重要影响
legitimate 合理的，合法的
secular 现世的，世俗的
bureaucracy 官僚的
incompatible 不相容的，不能并存的
manipulate 操作，使用
tremble 颤抖;颤动;
decisiveness 果断
deride 嘲笑
weave 编织
intricate 错综复杂的
freight 货运，寄送
humiliation 屈辱
leakage 泄露
articulate 明确表达;清楚说明;清楚的;清晰的
quirk 怪现象
exclusion 排斥
civility 文明礼仪
category 类别;种类
resistant 有抵抗力的
ponder 沉思
