insidious 阴险的，潜伏的
bypass 绕过;避开
turn up 发现
chunk 大段，大块
protein 蛋白质
confide 吐露，倾诉，托付
derive 得到;获得;取得;(使)起源;(使)产生
renowned 著名的;闻名的;有名的;受尊敬的
infection 感染，传染病
hold back 克制;阻止;保留;隐瞒;抑制住
doze 打盹
sermon 说教
perplex 困惑
crude 粗糙的
lest 免得，以免
soar 猛增
tort 侵权行为
consent 同意，赞许
paradoxical 似是而非的
chromosome 染色体
herd (贬义)人群，兽群
generous 慷慨的
vaccine 疫苗
disruption 破裂
proficient 精通的
divisive 分裂的;造成不和的;引起分歧的
endure 承受
theology 神学;宗教学;宗教信仰学;宗教信仰
bulb 电灯泡
ingenuity 创造力
account 账户，认为是
perceive 注意到，察觉到，感知
kit 配套元件;成套工具;成套设备;
slack 偷懒，松弛的，懈怠的
virtuosity 精湛技艺
infirm 衰弱的，体弱的
prefrontal 额叶前部的
innovation 创造;创新;改革;新思想;新方法
impose 推行，迫使
unfold (使)展开;打开;(使)逐渐展现;展示;透露
except that 只可惜，要不是，除了...之外
authentic 真正的;真实的;可靠的
akin 相似的
