unanimously 一致地
swamp 淹没
lest 免得，以免
lure 诱惑
intricate 错综复杂的
comply 遵守;遵从;服从;顺从
adjoining 相邻的
incentive 激励;刺激;鼓励;奖励
weight with 有影响
ingredient 要素，因素
petrol 汽油
infringe 违反，侵犯
at length 最后，终于，充分地，详细地
hold back 克制;阻止;保留;隐瞒;抑制住
thereby 从而
phony 伪造的;假的;虚伪的;做作的
freight 货运，寄送
hypothesis 假说，假设
elude 躲避;使达不到;使不理解
flare 突发，加剧，发怒
deride 嘲笑
marine 海的;海产的;货船的;海上贸易的
incidentally 顺便提一句
way 方法;作风;样子;很远;大量;习俗
conditioned 对…具有重要影响
fabricate 捏造
apprehensive 忧虑的
lodging 寄宿处，租住的房间
quirk 怪现象
consensus 意见一致
deduce 推理
profile 形象
cult 狂热，时尚，崇拜;
bureaucracy 官僚的
chamber 房间，议院，会议厅
pension 退休金，养老金，抚恤金
entail 使必须，需要
impulse 动力
prevail 盛行
secular 现世的，世俗的
or so ...左右，...上下
predator 捕食者，食肉动物，剥削者
entertainer 演员
fade 变淡
put down to 把...归因于
calorie 卡路里
acquisitive 贪婪的
dwelling 住处，公寓
contemplative 深思熟虑的，冥想的
innate 天生的
underrated 低估
