kinship 亲属关系，血缘关系
hold back 克制;阻止;保留;隐瞒;抑制住
fraction 少量
clientele 顾客
lest 免得，以免
let alone 更不用说
mechanical 机械的
swab 蘸取
whereby 由此;借以;凭此;由于
simultaneous 同时的
defective 有缺陷的
consistently 一贯地;始终如一地
infection 感染，传染病
enlist 谋取帮助;征募
deduce 推理
vigorously 坚决的，精力充沛的
clove 丁香
righteous 公正的;正直的;正当的;正义的
account 账户，认为是
foster 助长，促进，培养
dispute 争论，对...提出质疑
democratize 民主化，大众化
mitochondria 线粒体的
groundbreaking 开创性的
bypass 绕过;避开
notorious 臭名昭著的
feeble 薄弱的，脆弱的
minister 部长;牧师;公使;辅助;服侍;照顾;帮助;
authentic 真正的;真实的;可靠的
get cracking 马上开始;加紧做
preoccupation 思虑;长久思考的事情;心事重重;全神贯注
delinquency 犯罪
irrational 不合理的
herd (贬义)人群，兽群
chromosome 染色体
trial 审判
incompatible 不相容的，不能并存的
illuminating 有启发性的
prudent 谨慎的;精明的
swab 蘸取
clergyman 牧师
bulb 电灯泡
turn up 发现
cucumber 黄瓜
paternal 父系的;父亲的;慈父般的
attach 贴上;重视;把…固定，把…附(在…上);
compliance 服从，遵从
fondness 喜爱
thereby 从而
deliberate 故意的，蓄意的
slack 偷懒，松弛的，懈怠的
diagnosis 诊断
recommendation 建议
regime 政权，政治制度
recession 经济衰退;经济萎缩;退后;撤回
envision 想象，设想
soar 猛增
caption 说明文字
unaccountably 莫名其妙地;不可理解地
deride 嘲笑
ritual 仪式
feeble 薄弱的，脆弱的
protein 蛋白质
virtuosity 精湛技艺
descendant 后代
hawk 鹰;沿街叫卖;
vaccine 疫苗
sketch 素描，梗概
coupon 礼券
anatomy 解剖学
