canon 原则
dampen 使扫兴，使沮丧
repel 推开;赶走;驱除;使厌恶
subtle 微妙的，精致的
acquisitive 贪婪的
holistic 完全地，真正地
leverage 影响，利用
deference 尊重，顺从
arrogant 傲慢的
deprive 剥夺
repertoire 节目，曲目
substantially 非常;大大地;基本上;本质上
detached 独立的，公正的，客观的，超然的
constitute 建立
hostage 人质
incompatible 不相容的，不能并存的
in terms of 在...方面，从...角度
pathological 非理智的，无法控制的
retrospect 回顾;回想
deputy 副总
cling 坚持，抓紧;紧握;
shaky 不可靠的
authentic 真正的;真实的;可靠的
infancy 初期，初始状态
adhere 坚持，遵守
conceivably 可信地，可想像地
infection 感染，传染病
embody 具体表现
unaccountably 莫名其妙地;不可理解地
faint 昏倒;微弱的，牵强的
issue 问题，发出;宣布;公布;(正式)发给;供给;
transferable 可通用的
deride 嘲笑
persuasive 有说服力的
vague 含糊的，不明确的
hold on 等等;握住;抓牢;坚持不懈;
cloak 遮盖，掩盖
transmissible 可传递的
abound 大量
sentiment 观点，看法;情绪;伤感,柔情,哀伤
measurable 可度量的;显著的;
innate 天生的
affair 公共事务;政治事务;事件;风流韵事
unpretentious 不爱炫耀的
scrutinize 仔细检查
for fear that 以免，唯恐
